video_id,channel_name,publishedAt,title,company,confidence,sentiment
BfZjRQ6k49E,Invest with Henry,2024-12-27T21:16:52Z,Selling Put Options for Beginners FULL FREE COURSE (2+ Hours),Goldman Sachs,1.0,0.7
BfZjRQ6k49E,Invest with Henry,2024-12-27T21:16:52Z,Selling Put Options for Beginners FULL FREE COURSE (2+ Hours),Nvidia,1.0,0.8
BfZjRQ6k49E,Invest with Henry,2024-12-27T21:16:52Z,Selling Put Options for Beginners FULL FREE COURSE (2+ Hours),Apple,1.0,1.0
BfZjRQ6k49E,Invest with Henry,2024-12-27T21:16:52Z,Selling Put Options for Beginners FULL FREE COURSE (2+ Hours),Google,1.0,1.0
BfZjRQ6k49E,Invest with Henry,2024-12-27T21:16:52Z,Selling Put Options for Beginners FULL FREE COURSE (2+ Hours),Microsoft,1.0,1.0
BfZjRQ6k49E,Invest with Henry,2024-12-27T21:16:52Z,Selling Put Options for Beginners FULL FREE COURSE (2+ Hours),Johnson and Johnson,1.0,1.0
wpZdY0eR4WU,Invest with Henry,2024-12-26T19:44:32Z,If You Hold PALANTIR STOCK (PLTR) ... GET READY,Palantir,1.0,1.0
wpZdY0eR4WU,Invest with Henry,2024-12-26T19:44:32Z,If You Hold PALANTIR STOCK (PLTR) ... GET READY,Tesla,1.0,0.8
wpZdY0eR4WU,Invest with Henry,2024-12-26T19:44:32Z,If You Hold PALANTIR STOCK (PLTR) ... GET READY,Nvidia,1.0,0.5
wpZdY0eR4WU,Invest with Henry,2024-12-26T19:44:32Z,If You Hold PALANTIR STOCK (PLTR) ... GET READY,Goldman Sachs,1.0,-0.7
wpZdY0eR4WU,Invest with Henry,2024-12-26T19:44:32Z,If You Hold PALANTIR STOCK (PLTR) ... GET READY,FED,0.8,0.5
RfHcqSqrsUs,Invest with Henry,2024-12-21T16:58:24Z,URGENT: WATCH BEFORE MONDAY 930am! #SOFI #SPY #TSLA #PLTR #NVDA #AMD,Sofi Technologies,1.0,1.0
RfHcqSqrsUs,Invest with Henry,2024-12-21T16:58:24Z,URGENT: WATCH BEFORE MONDAY 930am! #SOFI #SPY #TSLA #PLTR #NVDA #AMD,SPY,0.9,0.8
RfHcqSqrsUs,Invest with Henry,2024-12-21T16:58:24Z,URGENT: WATCH BEFORE MONDAY 930am! #SOFI #SPY #TSLA #PLTR #NVDA #AMD,Tesla,1.0,0.6
RfHcqSqrsUs,Invest with Henry,2024-12-21T16:58:24Z,URGENT: WATCH BEFORE MONDAY 930am! #SOFI #SPY #TSLA #PLTR #NVDA #AMD,Palantir,1.0,1.0
